quantity,original_price,unit_price,item_total,channel,channel_campaigns
1,57.11,57.11,57.11,E-commerce,Website Banner
1,57,57,57,App Mobile,App Mobile
1,56.91,56.91,56.91,E-commerce,Website Banner
1,56.91,56.91,56.91,App Mobile,App Mobile
1,56.7,56.7,56.7,E-commerce,Website Banner
1,56.7,56.7,56.7,App Mobile,App Mobile
1,56.69,56.69,56.69,App Mobile,App Mobile
1,56.58,56.58,56.58,E-commerce,Website Banner
1,56.44,56.44,56.44,App Mobile,App Mobile
1,56.29,56.29,56.29,E-commerce,Website Banner
1,56.2,56.2,56.2,E-commerce,Website Banner
1,55.91,55.91,55.91,E-commerce,Website Banner
1,55.39,55.39,55.39,App Mobile,App Mobile
1,55.27,55.27,55.27,App Mobile,App Mobile
1,55.25,55.25,55.25,E-commerce,Website Banner
1,55.06,55.06,55.06,E-commerce,Website Banner
1,55.06,55.06,55.06,App Mobile,App Mobile
1,55.04,55.04,55.04,E-commerce,Website Banner
1,55.03,55.03,55.03,E-commerce,Website Banner
1,55.01,55.01,55.01,App Mobile,App Mobile
1,55.01,55.01,55.01,E-commerce,Website Banner
1,54.91,54.91,54.91,E-commerce,Website Banner
1,54.91,54.91,54.91,App Mobile,App Mobile
1,54.87,54.87,54.87,E-commerce,Website Banner
1,54.83,54.83,54.83,E-commerce,Website Banner
1,54.83,54.83,54.83,E-commerce,Website Banner
1,54.83,54.83,54.83,App Mobile,App Mobile
1,54.28,54.28,54.28,E-commerce,Website Banner
1,54.2,54.2,54.2,App Mobile,App Mobile
1,54.2,54.2,54.2,E-commerce,Website Banner
1,53.93,53.93,53.93,App Mobile,App Mobile
1,53.74,53.74,53.74,E-commerce,Website Banner
1,53.73,53.73,53.73,E-commerce,Website Banner
1,53.7,53.7,53.7,E-commerce,Website Banner
1,53.61,53.61,53.61,E-commerce,Website Banner
1,53.48,53.48,53.48,App Mobile,App Mobile
1,53.46,53.46,53.46,E-commerce,Website Banner
1,53.35,53.35,53.35,E-commerce,Website Banner
1,53.35,53.35,53.35,E-commerce,Website Banner
1,53.32,53.32,53.32,App Mobile,App Mobile
1,53.27,53.27,53.27,App Mobile,App Mobile
1,53.19,53.19,53.19,E-commerce,Website Banner
1,59.07,53.16,53.16,E-commerce,Website Banner
1,52.94,52.94,52.94,E-commerce,Website Banner
1,52.94,52.94,52.94,E-commerce,Website Banner
1,52.83,52.83,52.83,E-commerce,Website Banner
1,52.65,52.65,52.65,App Mobile,App Mobile
1,52.65,52.65,52.65,App Mobile,App Mobile
1,52.58,52.58,52.58,App Mobile,App Mobile
1,52.58,52.58,52.58,E-commerce,Website Banner
1,52.28,52.28,52.28,App Mobile,App Mobile
1,52.28,52.28,52.28,E-commerce,Website Banner
1,52.28,52.28,52.28,E-commerce,Website Banner
1,74.67,52.27,52.27,App Mobile,Social Media
1,52.18,52.18,52.18,App Mobile,App Mobile
1,52.1,52.1,52.1,E-commerce,Website Banner
1,52.08,52.08,52.08,App Mobile,App Mobile
1,52.08,52.08,52.08,E-commerce,Website Banner
1,52.08,52.08,52.08,E-commerce,Website Banner
1,52.08,52.08,52.08,E-commerce,Website Banner
1,51.8,51.8,51.8,E-commerce,Website Banner
1,51.8,51.8,51.8,E-commerce,Website Banner
1,51.76,51.76,51.76,E-commerce,Website Banner
1,51.7,51.7,51.7,App Mobile,App Mobile
1,51.63,51.63,51.63,E-commerce,Website Banner
1,51.38,51.38,51.38,E-commerce,Website Banner
1,51.38,51.38,51.38,App Mobile,App Mobile
1,51.27,51.27,51.27,E-commerce,Website Banner
1,51.25,51.25,51.25,App Mobile,App Mobile
1,51.22,51.22,51.22,E-commerce,Website Banner
1,51.17,51.17,51.17,App Mobile,App Mobile
1,51.17,51.17,51.17,E-commerce,Website Banner
1,51.17,51.17,51.17,App Mobile,App Mobile
1,51,51,51,E-commerce,Website Banner
1,51,51,51,E-commerce,Website Banner
1,51,51,51,App Mobile,App Mobile
1,50.91,50.91,50.91,App Mobile,App Mobile
1,50.88,50.88,50.88,E-commerce,Website Banner
1,50.86,50.86,50.86,App Mobile,App Mobile
1,50.85,50.85,50.85,App Mobile,App Mobile
1,50.72,50.72,50.72,App Mobile,App Mobile
1,50.72,50.72,50.72,App Mobile,App Mobile
1,50.68,50.68,50.68,E-commerce,Website Banner
1,50.68,50.68,50.68,App Mobile,App Mobile
1,50.55,50.55,50.55,App Mobile,App Mobile
1,50.55,50.55,50.55,App Mobile,App Mobile
1,50.55,50.55,50.55,App Mobile,App Mobile
1,50.55,50.55,50.55,E-commerce,Website Banner
1,50.52,50.52,50.52,E-commerce,Website Banner
1,50.52,50.52,50.52,App Mobile,App Mobile
1,50.52,50.52,50.52,E-commerce,Website Banner
1,50.34,50.34,50.34,E-commerce,Website Banner
1,50.04,50.04,50.04,App Mobile,App Mobile
1,49.98,49.98,49.98,E-commerce,Website Banner
1,49.84,49.84,49.84,App Mobile,App Mobile
1,49.84,49.84,49.84,App Mobile,App Mobile
1,49.81,49.81,49.81,E-commerce,Website Banner
1,49.76,49.76,49.76,E-commerce,Website Banner
1,49.74,49.74,49.74,E-commerce,Website Banner
1,49.59,49.59,49.59,App Mobile,App Mobile
1,49.41,49.41,49.41,E-commerce,Website Banner
1,48.88,48.88,48.88,E-commerce,Website Banner
1,48.86,48.86,48.86,E-commerce,Website Banner
1,48.73,48.73,48.73,App Mobile,App Mobile
1,48.64,48.64,48.64,E-commerce,Website Banner
1,53.74,48.37,48.37,E-commerce,Website Banner
1,48.34,48.34,48.34,App Mobile,App Mobile
1,48.34,48.34,48.34,E-commerce,Website Banner
1,48.3,48.3,48.3,App Mobile,App Mobile
1,48.3,48.3,48.3,E-commerce,Website Banner
1,48.03,48.03,48.03,E-commerce,Website Banner
1,48.03,48.03,48.03,E-commerce,Website Banner
1,47.91,47.91,47.91,E-commerce,Website Banner
1,47.87,47.87,47.87,E-commerce,Website Banner
1,47.73,47.73,47.73,App Mobile,App Mobile
1,47.66,47.66,47.66,App Mobile,App Mobile
1,47.66,47.66,47.66,E-commerce,Website Banner
1,47.59,47.59,47.59,App Mobile,App Mobile
1,47.47,47.47,47.47,App Mobile,App Mobile
1,47.47,47.47,47.47,E-commerce,Website Banner
1,47.47,47.47,47.47,E-commerce,Website Banner
1,47.44,47.44,47.44,E-commerce,Website Banner
1,46.99,46.99,46.99,E-commerce,Website Banner
1,52.12,46.91,46.91,E-commerce,Email
1,52.11,46.9,46.9,E-commerce,Email
1,46.9,46.9,46.9,E-commerce,Website Banner
1,46.72,46.72,46.72,E-commerce,Website Banner
1,66.63,46.64,46.64,App Mobile,Social Media
1,46.52,46.52,46.52,App Mobile,App Mobile
1,46.52,46.52,46.52,E-commerce,Website Banner
1,46.36,46.36,46.36,App Mobile,App Mobile
1,46.11,46.11,46.11,App Mobile,App Mobile
1,45.8,45.8,45.8,E-commerce,Website Banner
1,45.8,45.8,45.8,E-commerce,Website Banner
1,45.75,45.75,45.75,App Mobile,App Mobile
1,65.26,45.68,45.68,App Mobile,Social Media
1,65.26,45.68,45.68,App Mobile,Social Media
1,45.62,45.62,45.62,E-commerce,Website Banner
1,45.58,45.58,45.58,App Mobile,App Mobile
1,45.58,45.58,45.58,E-commerce,Website Banner
1,45.42,45.42,45.42,E-commerce,Website Banner
1,45.42,45.42,45.42,App Mobile,App Mobile
1,50.34,45.31,45.31,E-commerce,Email
1,45.27,45.27,45.27,App Mobile,App Mobile
1,45.27,45.27,45.27,App Mobile,App Mobile
1,45.27,45.27,45.27,E-commerce,Website Banner
1,45.19,45.19,45.19,App Mobile,App Mobile
1,45.15,45.15,45.15,App Mobile,App Mobile
1,44.77,44.77,44.77,App Mobile,App Mobile
1,44.45,44.45,44.45,App Mobile,App Mobile
1,44.32,44.32,44.32,E-commerce,Website Banner
1,44.32,44.32,44.32,E-commerce,Website Banner
1,44.14,44.14,44.14,App Mobile,App Mobile
1,44.12,44.12,44.12,E-commerce,Website Banner
1,44.12,44.12,44.12,E-commerce,Website Banner
1,44.08,44.08,44.08,E-commerce,Website Banner
1,44.08,44.08,44.08,App Mobile,App Mobile
1,44.06,44.06,44.06,App Mobile,App Mobile
1,44.06,44.06,44.06,E-commerce,Website Banner
1,43.92,43.92,43.92,App Mobile,App Mobile
1,43.92,43.92,43.92,E-commerce,Website Banner
1,43.64,43.64,43.64,E-commerce,Website Banner
1,43.43,43.43,43.43,App Mobile,App Mobile
1,43.38,43.38,43.38,E-commerce,Website Banner
1,43.14,43.14,43.14,E-commerce,Website Banner
1,61.51,43.06,43.06,App Mobile,Social Media
1,43.06,43.06,43.06,App Mobile,App Mobile
1,43.04,43.04,43.04,E-commerce,Website Banner
1,42.72,42.72,42.72,E-commerce,Website Banner
1,42.72,42.72,42.72,E-commerce,Website Banner
1,42.67,42.67,42.67,E-commerce,Website Banner
1,42.66,42.66,42.66,App Mobile,App Mobile
1,42.5,42.5,42.5,App Mobile,App Mobile
1,42.47,42.47,42.47,E-commerce,Website Banner
1,42.47,42.47,42.47,E-commerce,Website Banner
1,42.24,42.24,42.24,E-commerce,Website Banner
1,60.34,42.24,42.24,App Mobile,Social Media
1,42.14,42.14,42.14,E-commerce,Website Banner
1,42.14,42.14,42.14,E-commerce,Website Banner
1,42.1,42.1,42.1,E-commerce,Website Banner
1,41.88,41.88,41.88,App Mobile,App Mobile
1,41.84,41.84,41.84,App Mobile,App Mobile
1,41.7,41.7,41.7,App Mobile,App Mobile
1,59.56,41.69,41.69,App Mobile,Social Media
1,41.64,41.64,41.64,App Mobile,App Mobile
1,41.56,41.56,41.56,App Mobile,App Mobile
1,41.51,41.51,41.51,App Mobile,App Mobile
1,41.26,41.26,41.26,App Mobile,App Mobile
1,41.26,41.26,41.26,E-commerce,Website Banner
1,40.99,40.99,40.99,App Mobile,App Mobile
1,40.99,40.99,40.99,App Mobile,App Mobile
1,40.99,40.99,40.99,E-commerce,Website Banner
1,40.92,40.92,40.92,App Mobile,App Mobile
1,40.92,40.92,40.92,App Mobile,App Mobile
1,40.92,40.92,40.92,App Mobile,App Mobile
1,58.34,40.84,40.84,App Mobile,Social Media
1,58.26,40.78,40.78,App Mobile,Social Media
1,40.77,40.77,40.77,App Mobile,App Mobile
1,40.77,40.77,40.77,App Mobile,App Mobile
1,40.77,40.77,40.77,E-commerce,Website Banner
1,40.75,40.75,40.75,E-commerce,Website Banner
1,40.75,40.75,40.75,E-commerce,Website Banner
1,40.5,40.5,40.5,E-commerce,Website Banner
1,57.8,40.46,40.46,App Mobile,Social Media
1,40.36,40.36,40.36,E-commerce,Website Banner
1,40.25,40.25,40.25,E-commerce,Website Banner
1,40.12,40.12,40.12,E-commerce,Website Banner
1,56.84,39.79,39.79,App Mobile,Social Media
1,39.78,39.78,39.78,App Mobile,App Mobile
1,39.78,39.78,39.78,App Mobile,App Mobile
1,39.78,39.78,39.78,E-commerce,Website Banner
1,39.62,39.62,39.62,E-commerce,Website Banner
1,39.42,39.42,39.42,App Mobile,App Mobile
1,39.34,39.34,39.34,E-commerce,Website Banner
1,39.34,39.34,39.34,E-commerce,Website Banner
1,39.22,39.22,39.22,E-commerce,Website Banner
1,39.18,39.18,39.18,E-commerce,Website Banner
1,39.18,39.18,39.18,E-commerce,Website Banner
1,39.09,39.09,39.09,E-commerce,Website Banner
1,39.09,39.09,39.09,E-commerce,Website Banner
1,43.38,39.04,39.04,E-commerce,Email
1,39.03,39.03,39.03,E-commerce,Website Banner
1,38.9,38.9,38.9,App Mobile,App Mobile
1,38.81,38.81,38.81,E-commerce,Website Banner
1,38.81,38.81,38.81,App Mobile,App Mobile
1,38.74,38.74,38.74,E-commerce,Website Banner
1,38.68,38.68,38.68,E-commerce,Website Banner
1,38.68,38.68,38.68,App Mobile,App Mobile
1,55.06,38.54,38.54,App Mobile,Social Media
1,38.52,38.52,38.52,E-commerce,Website Banner
1,55.01,38.51,38.51,App Mobile,Social Media
1,38.41,38.41,38.41,E-commerce,Website Banner
1,38.41,38.41,38.41,E-commerce,Website Banner
1,54.83,38.38,38.38,App Mobile,Social Media
1,38.14,38.14,38.14,App Mobile,App Mobile
1,38.14,38.14,38.14,App Mobile,App Mobile
1,38.14,38.14,38.14,App Mobile,App Mobile
1,54.38,38.07,38.07,App Mobile,Social Media
1,38.06,38.06,38.06,E-commerce,Website Banner
1,38.06,38.06,38.06,App Mobile,App Mobile
1,38.03,38.03,38.03,E-commerce,Website Banner
1,38.03,38.03,38.03,App Mobile,App Mobile
1,37.94,37.94,37.94,App Mobile,App Mobile
1,37.45,37.45,37.45,E-commerce,Website Banner
1,37.45,37.45,37.45,App Mobile,App Mobile
1,37.11,37.11,37.11,E-commerce,Website Banner
1,37.06,37.06,37.06,E-commerce,Website Banner
1,37.06,37.06,37.06,App Mobile,App Mobile
1,52.94,37.06,37.06,App Mobile,Social Media
1,37.06,37.06,37.06,E-commerce,Website Banner
1,36.99,36.99,36.99,App Mobile,App Mobile
1,52.83,36.98,36.98,App Mobile,Social Media
1,36.88,36.88,36.88,E-commerce,Website Banner
1,36.88,36.88,36.88,E-commerce,Website Banner
1,36.84,36.84,36.84,App Mobile,App Mobile
1,36.65,36.65,36.65,E-commerce,Website Banner
1,36.47,36.47,36.47,App Mobile,App Mobile
1,52.08,36.46,36.46,App Mobile,Social Media
1,36.01,36.01,36.01,E-commerce,Website Banner
1,51.38,35.97,35.97,App Mobile,Social Media
1,35.69,35.69,35.69,E-commerce,Website Banner
1,35.69,35.69,35.69,App Mobile,App Mobile
1,39.2,35.28,35.28,E-commerce,Email
1,35.2,35.2,35.2,E-commerce,Website Banner
1,35.2,35.2,35.2,E-commerce,Website Banner
1,38.9,35.01,35.01,E-commerce,Email
1,49.41,34.59,34.59,App Mobile,Social Media
1,34.58,34.58,34.58,App Mobile,App Mobile
1,34.45,34.45,34.45,E-commerce,Website Banner
1,34.45,34.45,34.45,E-commerce,Website Banner
1,34.23,34.23,34.23,E-commerce,Website Banner
1,33.95,33.95,33.95,App Mobile,App Mobile
1,33.95,33.95,33.95,App Mobile,App Mobile
1,33.94,33.94,33.94,E-commerce,Website Banner
1,33.59,33.59,33.59,App Mobile,App Mobile
1,33.59,33.59,33.59,E-commerce,Website Banner
1,33.39,33.39,33.39,E-commerce,Website Banner
1,33.39,33.39,33.39,E-commerce,Website Banner
1,47.47,33.23,33.23,App Mobile,Social Media
1,32.94,32.94,32.94,App Mobile,App Mobile
1,46.89,32.82,32.82,App Mobile,Social Media
1,32.41,32.41,32.41,App Mobile,App Mobile
1,32.21,32.21,32.21,E-commerce,Website Banner
1,32.21,32.21,32.21,E-commerce,Website Banner
1,32.05,32.05,32.05,E-commerce,Website Banner
1,31.86,31.86,31.86,E-commerce,Website Banner
1,31.86,31.86,31.86,App Mobile,App Mobile
1,31.84,31.84,31.84,App Mobile,App Mobile
1,31.84,31.84,31.84,App Mobile,App Mobile
1,31.84,31.84,31.84,E-commerce,Website Banner
1,31.67,31.67,31.67,App Mobile,App Mobile
1,31.61,31.61,31.61,E-commerce,Website Banner
1,31.48,31.48,31.48,App Mobile,App Mobile
1,44.77,31.34,31.34,App Mobile,Social Media
1,31.15,31.15,31.15,App Mobile,App Mobile
1,30.85,30.85,30.85,E-commerce,Website Banner
1,30.85,30.85,30.85,App Mobile,App Mobile
1,30.83,30.83,30.83,E-commerce,Website Banner
1,30.83,30.83,30.83,App Mobile,App Mobile
1,30.41,30.41,30.41,E-commerce,Website Banner
1,30.26,30.26,30.26,E-commerce,Website Banner
1,29.97,29.97,29.97,App Mobile,App Mobile
1,29.82,29.82,29.82,E-commerce,Website Banner
1,29.81,29.81,29.81,E-commerce,Website Banner
1,29.68,29.68,29.68,E-commerce,Website Banner
1,29.63,29.63,29.63,E-commerce,Website Banner
1,41.88,29.32,29.32,App Mobile,Social Media
1,28.98,28.98,28.98,App Mobile,App Mobile
1,28.98,28.98,28.98,App Mobile,App Mobile
1,28.73,28.73,28.73,E-commerce,Website Banner
1,28.42,28.42,28.42,E-commerce,Website Banner
1,28.42,28.42,28.42,E-commerce,Website Banner
1,31.09,27.98,27.98,E-commerce,Email
1,39.83,27.88,27.88,App Mobile,Social Media
1,27.5,27.5,27.5,App Mobile,App Mobile
1,27.5,27.5,27.5,E-commerce,Website Banner
1,30.41,27.37,27.37,E-commerce,Email
1,27.34,27.34,27.34,E-commerce,Website Banner
1,29.82,26.84,26.84,E-commerce,Email
1,37.8,26.46,26.46,App Mobile,Social Media
1,26.41,26.41,26.41,E-commerce,Website Banner
1,25.7,25.7,25.7,App Mobile,App Mobile
1,25.7,25.7,25.7,App Mobile,App Mobile
1,27.94,25.15,25.15,E-commerce,Email
1,25.15,25.15,25.15,E-commerce,Website Banner
1,24.8,24.8,24.8,E-commerce,Website Banner
1,24.8,24.8,24.8,E-commerce,Website Banner
1,24.05,24.05,24.05,App Mobile,App Mobile
1,24.05,24.05,24.05,E-commerce,Website Banner
1,33.94,23.76,23.76,App Mobile,Social Media
1,23.13,23.13,23.13,App Mobile,App Mobile
1,22.96,22.96,22.96,E-commerce,Website Banner
1,24.96,22.46,22.46,E-commerce,Email
1,31.61,22.13,22.13,App Mobile,Social Media
1,21.53,21.53,21.53,App Mobile,App Mobile
1,20.82,20.82,20.82,App Mobile,App Mobile
1,25.38,17.77,17.77,App Mobile,Social Media
1,24.96,17.47,17.47,App Mobile,Social Media
1,24.05,16.84,16.84,App Mobile,Social Media
1,23.13,16.19,16.19,App Mobile,Social Media
1,22.96,16.07,16.07,App Mobile,Social Media
1,22.66,15.86,15.86,App Mobile,Social Media
1,21.53,15.07,15.07,App Mobile,Social Media
1,14.64,14.64,14.64,E-commerce,Website Banner
1,13.51,13.51,13.51,E-commerce,Website Banner
2,81.79,81.79,163.58,E-commerce,Website Banner
2,81.7,81.7,163.4,App Mobile,App Mobile
2,81.06,81.06,162.12,E-commerce,Website Banner
2,81.06,81.06,162.12,E-commerce,Website Banner
2,81.06,81.06,162.12,App Mobile,App Mobile
2,81.06,81.06,162.12,E-commerce,Website Banner
2,80.76,80.76,161.52,E-commerce,Website Banner
2,78.63,78.63,157.26,App Mobile,App Mobile
2,78.45,78.45,156.9,E-commerce,Website Banner
2,76.96,76.96,153.92,E-commerce,Website Banner
2,76.96,76.96,153.92,App Mobile,App Mobile
2,75.62,75.62,151.24,App Mobile,App Mobile
2,75.17,75.17,150.34,E-commerce,Website Banner
2,74.81,74.81,149.62,App Mobile,App Mobile
2,74.81,74.81,149.62,App Mobile,App Mobile
2,74.28,74.28,148.56,App Mobile,App Mobile
2,74.28,74.28,148.56,E-commerce,Website Banner
2,74.24,74.24,148.48,E-commerce,Website Banner
2,72.58,72.58,145.16,App Mobile,App Mobile
2,72.58,72.58,145.16,App Mobile,App Mobile
2,71.86,71.86,143.72,E-commerce,Website Banner
2,71.72,71.72,143.44,App Mobile,App Mobile
2,70.86,70.86,141.72,App Mobile,App Mobile
2,70.56,70.56,141.12,App Mobile,App Mobile
2,67.98,67.98,135.96,E-commerce,Website Banner
2,67.98,67.98,135.96,E-commerce,Website Banner
2,67.76,67.76,135.52,E-commerce,Website Banner
2,67.76,67.76,135.52,E-commerce,Website Banner
2,67.29,67.29,134.58,App Mobile,App Mobile
2,67.29,67.29,134.58,E-commerce,Website Banner
2,66.99,66.99,133.98,App Mobile,App Mobile
2,66.99,66.99,133.98,E-commerce,Website Banner
2,66.68,66.68,133.36,App Mobile,App Mobile
2,66.68,66.68,133.36,App Mobile,App Mobile
2,66.68,66.68,133.36,App Mobile,App Mobile
2,66.38,66.38,132.76,E-commerce,Website Banner
2,66.38,66.38,132.76,App Mobile,App Mobile
2,66.33,66.33,132.66,App Mobile,App Mobile
2,65.26,65.26,130.52,E-commerce,Website Banner
2,65.26,65.26,130.52,E-commerce,Website Banner
2,65.26,65.26,130.52,E-commerce,Website Banner
2,65.26,65.26,130.52,E-commerce,Website Banner
2,64.84,64.84,129.68,E-commerce,Website Banner
2,64.84,64.84,129.68,E-commerce,Website Banner
2,64.28,64.28,128.56,E-commerce,Website Banner
2,64.11,64.11,128.22,E-commerce,Website Banner
2,64.08,64.08,128.16,E-commerce,Website Banner
2,64.08,64.08,128.16,App Mobile,App Mobile
2,63.82,63.82,127.64,App Mobile,App Mobile
2,63.79,63.79,127.58,E-commerce,Website Banner
2,63.23,63.23,126.46,E-commerce,Website Banner
2,63.03,63.03,126.06,App Mobile,App Mobile
2,63.03,63.03,126.06,App Mobile,App Mobile
2,63.03,63.03,126.06,E-commerce,Website Banner
2,62.92,62.92,125.84,App Mobile,App Mobile
2,62.8,62.8,125.6,E-commerce,Website Banner
2,62.48,62.48,124.96,E-commerce,Website Banner
2,62.39,62.39,124.78,E-commerce,Website Banner
2,62.34,62.34,124.68,App Mobile,App Mobile
2,62.27,62.27,124.54,App Mobile,App Mobile
2,62.27,62.27,124.54,App Mobile,App Mobile
2,62.17,62.17,124.34,E-commerce,Website Banner
2,61.7,61.7,123.4,App Mobile,App Mobile
2,61.7,61.7,123.4,App Mobile,App Mobile
2,61.67,61.67,123.34,E-commerce,Website Banner
2,61.6,61.6,123.2,App Mobile,App Mobile
2,61.6,61.6,123.2,App Mobile,App Mobile
2,61.27,61.27,122.54,E-commerce,Website Banner
2,61.27,61.27,122.54,E-commerce,Website Banner
2,61.26,61.26,122.52,App Mobile,App Mobile
2,61.12,61.12,122.24,E-commerce,Website Banner
2,61.12,61.12,122.24,E-commerce,Website Banner
2,60.89,60.89,121.78,App Mobile,App Mobile
2,60.79,60.79,121.58,App Mobile,App Mobile
2,60.68,60.68,121.36,App Mobile,App Mobile
2,60.52,60.52,121.04,App Mobile,App Mobile
2,60.36,60.36,120.72,App Mobile,App Mobile
2,60.33,60.33,120.66,App Mobile,App Mobile
2,60.33,60.33,120.66,App Mobile,App Mobile
2,60.12,60.12,120.24,E-commerce,Website Banner
2,59.92,59.92,119.84,E-commerce,Website Banner
2,59.92,59.92,119.84,App Mobile,App Mobile
2,59.9,59.9,119.8,App Mobile,App Mobile
2,59.9,59.9,119.8,E-commerce,Website Banner
